stt,district,district_code,updated_district_code,province,total_DHF_cases,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
1,Long Xuyên,23,6,An Giang,618,2001,21,52,30,43,79,84,77,73,73,46,25,15
2,Châu Đốc ,24,3,An Giang,26,2001,0,2,0,1,0,7,2,6,4,4,0,0
3,Châu Thành,32,5,An Giang,177,2001,7,5,7,4,13,23,28,50,21,13,3,3
4,Châu Phú,28,4,An Giang,459,2001,19,20,15,17,57,82,90,60,47,27,17,8
5,Phú Tân,27,7,An Giang,141,2001,4,10,14,16,46,11,2,8,10,8,10,2
6,Tân Châu,26,9,An Giang,214,2001,4,4,4,7,12,24,22,16,44,46,20,11
7,Chợ Mới,31,2,An Giang,320,2001,21,14,16,15,37,65,46,37,32,18,13,6
8,An Phú,25,1,An Giang,244,2001,12,10,8,6,25,53,10,39,48,14,12,7
9,Tri Tôn,30,11,An Giang,348,2001,7,3,10,4,7,73,125,47,36,29,6,1
10,Tịnh Biên,29,8,An Giang,108,2001,4,0,2,4,8,15,12,25,19,16,3,0
11,Thoại Sơn,33,10,An Giang,271,2001,31,15,7,6,14,35,44,46,45,16,5,7
1,Long Xuyên,23,6,An Giang,256,2002,26,9,8,11,18,18,21,25,33,32,30,25
2,Châu Đốc ,24,3,An Giang,8,2002,0,1,0,3,2,0,0,0,2,0,0,0
3,Châu Thành,32,5,An Giang,61,2002,2,1,1,0,2,2,5,6,6,12,16,8
4,Châu Phú,28,4,An Giang,118,2002,6,2,2,6,4,9,16,6,12,17,23,15
5,Phú Tân,27,7,An Giang,67,2002,2,2,0,3,5,6,11,11,4,19,2,2
6,Tân Châu,26,9,An Giang,95,2002,11,3,1,4,4,10,15,6,15,19,3,4
7,Chợ Mới,31,2,An Giang,169,2002,5,3,2,6,17,14,15,30,18,17,24,18
8,An Phú,25,1,An Giang,126,2002,2,2,1,9,3,16,38,19,5,15,8,8
9,Tri Tôn,30,11,An Giang,89,2002,0,0,1,8,18,19,24,12,1,3,2,1
10,Tịnh Biên,29,8,An Giang,41,2002,0,1,2,3,9,6,15,2,0,2,1,0
11,Thoại Sơn,33,10,An Giang,44,2002,2,3,0,0,2,4,2,2,7,8,8,6
1,Long Xuyên,23,6,An Giang,261,2003,22,8,16,16,6,19,26,31,34,18,30,35
2,Châu Đốc ,24,3,An Giang,14,2003,0,0,0,2,5,1,1,3,1,0,1,0
3,Châu Thành,32,5,An Giang,44,2003,8,0,3,4,2,3,4,5,3,5,5,2
