An Giang Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,District Code - Old MDR map,District Code - Updated MDR map,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
1,Long Xuyên,23,6,21,14,7,7,0,0,0,0,52,37,4,2,0,0,0,0,30,22,4,4,0,0,0,0,43,25,8,8,0,0,0,0,79,51,9,7,0,0,0,0,84,52,8,7,0,0,0,0,77,39,11,8,0,0,0,0,73,38,7,7,0,0,0,0,73,27,10,6,0,0,0,0,46,21,4,2,0,0,0,0,25,23,9,8,0,0,0,0,15,8,2,1,0,0,0,0,618,357,83,67,0,0,0,0,,,,,,,,,,,,,,,,
2,Châu Đốc ,24,3,0,0,3,3,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,,,5,5,0,0,0,0,7,6,2,2,0,0,0,0,2,2,2,2,0,0,0,0,6,5,4,4,0,0,0,0,4,3,5,5,0,0,0,0,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,31,31,0,0,0,0,,,,,,,,,,,,,,,,
3,Châu Thành,32,5,7,4,6,5,0,0,3,3,5,3,3,2,0,0,0,0,7,5,1,1,0,0,0,0,4,4,1,0,0,0,0,0,13,11,2,2,0,0,0,0,23,15,12,12,0,0,0,0,28,17,4,3,0,0,0,0,50,30,10,9,0,0,0,0,21,10,3,2,0,0,0,0,13,6,2,2,0,0,0,0,3,2,2,2,0,0,0,0,3,3,0,0,0,0,0,0,177,110,46,40,0,0,3,3,,,,,,,,,,,,,,,,
4,Châu Phú,28,4,19,15,5,5,0,0,0,0,20,17,6,5,0,0,0,0,15,14,8,6,0,0,0,0,17,13,16,15,0,0,1,1,57,52,25,24,0,0,1,1,82,76,31,24,0,0,2,2,90,78,32,26,0,0,1,1,60,37,17,16,0,0,0,0,47,30,23,15,0,0,1,1,27,14,10,9,0,0,0,0,17,17,2,1,0,0,0,0,8,3,4,2,0,0,0,0,459,366,179,148,0,0,6,6,,,,,,,,,,,,,,,,
5,Phú Tân,27,7,4,2,3,2,0,0,0,0,10,8,12,8,0,0,0,0,14,10,5,3,0,0,0,0,16,13,12,11,0,0,0,0,46,28,26,17,0,0,0,0,11,7,20,17,0,0,0,0,2,2,7,7,0,0,0,0,8,5,15,12,0,0,0,0,10,6,9,8,0,0,0,0,8,4,7,5,0,0,0,0,10,6,3,3,0,0,0,0,2,1,3,0,0,0,0,0,141,92,122,93,0,0,0,0,,,,,,,,,,,,,,,,
6,Tân Châu,26,9,4,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,1,2,2,0,0,0,0,7,2,7,6,0,0,0,0,12,11,17,17,0,0,0,0,24,19,22,16,0,0,0,0,22,15,22,20,0,0,1,1,16,9,18,13,0,0,0,0,44,36,19,13,0,0,0,0,46,39,13,11,0,0,0,0,20,10,7,5,0,0,0,0,11,11,3,3,0,0,0,0,214,159,130,106,0,0,1,1,,,,,,,,,,,,,,,,
7,Chợ Mới,31,2,21,21,13,13,0,0,0,0,14,14,7,6,0,0,0,0,16,12,11,10,0,0,0,0,15,11,12,12,0,0,0,0,37,23,17,17,0,0,1,1,65,54,35,31,0,0,0,0,46,32,21,15,0,0,0,0,37,31,31,26,0,0,0,0,32,23,31,25,0,0,0,0,18,10,9,6,0,0,0,0,13,9,8,7,0,0,0,0,6,4,12,11,0,0,1,1,320,244,207,179,0,0,2,2,,,,,,,,,,,,,,,,
