Province,District,District code - Old MDR map,District code - Updated MDR map,pop,symbols_name,,,,,,
An Giang,An phu,25,1,"148,615",An Phú,,,,,,
An Giang,Chau Doc,24,3,"101,765",Châu Đốc ,,,,,,
An Giang,Chau Phu,28,4,"206,676",Châu Phú,,,,,,
An Giang,Chau Thanh,32,5,"151,368",Châu Thành,,,,,,
An Giang,Cho Moi,31,2,"307,981",Chợ Mới,,,,,,
An Giang,Long Xuyen,23,6,"272,365",Long Xuyên,,,,,,
An Giang,Phu Tan,27,7,"188,951",Phú Tân,,,,,,
An Giang,Tan Chau,26,9,"141,211",Tân Châu,,,,,,
An Giang,Thoai Son,33,10,"163,427",Thoại Sơn,,,,,,
An Giang,Tinh Bien,29,8,"108,562",Tịnh Biên,,,,,,
An Giang,Tri Ton,30,11,"117,431",Tri Tôn,,,,,,
Bac Lieu,Bac Lieu,81,12,"156,110",Bạc Liêu,,,,,,
Bac Lieu,Dong Hai,83,13,"152,619",Đông Hải,,,,,,
Bac Lieu,Gia Rai,82,14,"143,613",Giá Rai,,,,,,
Bac Lieu,Hong Dan,94,15,"111,848",Hồng Dân,,,,,,
Bac Lieu,Hoa Binh,95,16,"117,753",Hoà Bình,,,,,,
Bac Lieu,Phuoc Long,93,17,"124,268",Phước Long,,,,,,
Bac Lieu,Vinh Loi,96,18,"101,025",Vĩnh Lợi,,,,,,
Ben Tre,Ben Tre,48,19,"122,482",Bến Tre,,,,,,
Ben Tre,Ba Tri,53,20,"187,272",Ba Tri,,,,,,
Ben Tre,Binh Dai,52,21,"131,126",Bình Đại,,,,,,
Ben Tre,Cho Lach,50,22,"109,516",Chợ Lách,,,,,,
Ben Tre,Chau Thanh,49,23,"164,550",Châu Thành,,,,,,
Ben Tre,Giong Trom,51,24,"167,320",Giồng Trôm,,,,,,
Ben Tre,Mo Cay,130,25 & 26,"255,328",Mỏ Cày ,,,,,,
Ben Tre,Mo Cay Bac,131,25,"109,203",Mỏ Cày Bắc,,,,,,
Ben Tre,Mo Cay Nam,130,26,"146,125",Mỏ Cày Nam,,,,,,
Ben Tre,Thanh Phu,54,27,"127,623",Thạnh Phú,,,,,,
Can Tho city,Can Tho,,"28-31, 33, 35","852,735",Cần Thơ,,,,,,
Can Tho city,Binh Thuy,64,28,"142,164",Bình Thủy,,,,,,
Can Tho city,Co Do,114,29,"116,576",Cờ Đỏ,,,,,,
Can Tho city,Cai Rang,66,30,"105,393",Cái Răng,,,,,,
Can Tho city,Ninh Kieu,65,31,"280,494",Ninh Kiều,,,,,,
Can Tho city,O Mon,113,32,"128,677",Ô Môn,,,,,,
Can Tho city,Phong Dien,67,33,"98,424",Phong Điền,,,,,,
Can Tho city,Thot Not,115,34,"155,360",Thốt Nốt,,,,,,
