VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
an phu,190.374,2001,190374,An Giang,District
cho moi,309.467,2001,309467,An Giang,District
chau doc,88.197,2001,88197,An Giang,City
chau phu,243.647,2001,243647,An Giang,District
chau thanh,152.154,2001,152154,An Giang,District
long xuyen,238.925,2001,238925,An Giang,City
phu tan,163.695,2001,163695,An Giang,District
tinh bien,200.183,2001,200183,An Giang,District
tan chau,184.873,2001,184873,An Giang,Town
thoai son,146.018,2001,146018,An Giang,District
tri ton,237.729,2001,237729,An Giang,District
bac lieu,151.67,2001,151670,Bạc Liêu,City
dong hai,99.455,2001,99455,Bạc Liêu,District
gia rai,151.805,2001,151805,Bạc Liêu,Town
hong dan,102.582,2001,102582,Bạc Liêu,District
hoa binh,102.582,2001,102582,Bạc Liêu,District
phuoc long,105.998,2001,105998,Bạc Liêu,District
vinh loi,74.474,2001,74474,Bạc Liêu,District
ben tre,118.117,2001,118117,Bến Tre,City
ba tri,317.807,2001,317807,Bến Tre,District
binh dai,145.88,2001,145880,Bến Tre,District
cho lach,72.074,2001,72074,Bến Tre,District
chau thanh,56.897,2001,56897,Bến Tre,District
giong trom,157.234,2001,157234,Bến Tre,District
mo cay bac,67.175,2001,67175,Bến Tre,District
mo cay nam,162.343,2001,162343,Bến Tre,District
thanh phu,226.778,2001,226778,Bến Tre,District
binh thuy,111.827,2001,111827,Cần Thơ,Urban District
co do,132.371,2001,132371,Cần Thơ,District
cai rang,56.186,2001,56186,Cần Thơ,Urban District
ninh kieu,165.064,2001,165064,Cần Thơ,Urban District
o mon,110.598,2001,110598,Cần Thơ,Urban District
phong dien,95.393,2001,95393,Cần Thơ,District
thot not,65.682,2001,65682,Cần Thơ,Urban District
thoi lai,104.641,2001,104641,Cần Thơ,District
vinh thanh,136.693,2001,136693,Cần Thơ,District
ca mau,176.558,2001,176558,Cà Mau,City
cai nuoc,118.643,2001,118643,Cà Mau,District
dam doi,183.946,2001,183946,Cà Mau,District
nam can,39.988,2001,39988,Cà Mau,District
ngoc hien,59.792,2001,59792,Cà Mau,District
phu tan,135.479,2001,135479,Cà Mau,District
thoi binh,194.346,2001,194346,Cà Mau,District
tran van thoi,128.697,2001,128697,Cà Mau,District
u minh,95.322,2001,95322,Cà Mau,District
cao lanh,178.855,2001,178855,Đồng Tháp,District
cao lanh,163.983,2001,163983,Đồng Tháp,City
chau thanh,178.994,2001,178994,Đồng Tháp,District
hong ngu,125.425,2001,125425,Đồng Tháp,District
hong ngu,43.576,2001,43576,Đồng Tháp,City
lap vo,137.962,2001,137962,Đồng Tháp,District
lai vung,112.162,2001,112162,Đồng Tháp,District
sa dec,70.394,2001,70394,Đồng Tháp,City
tam nong,114.412,2001,114412,Đồng Tháp,District
tan hong,76.492,2001,76492,Đồng Tháp,District
thanh binh,139.967,2001,139967,Đồng Tháp,District
thap muoi,224.837,2001,224837,Đồng Tháp,District
chau thanh,48.445,2001,48445,Hậu Giang,District
chau thanh a,114.885,2001,114885,Hậu Giang,District
long my,121.426,2001,121426,Hậu Giang,District
long my,81.883,2001,81883,Hậu Giang,Town
nga bay,72.315,2001,72315,Hậu Giang,City
phung hiep,269.904,2001,269904,Hậu Giang,District
vi thanh,112.61,2001,112610,Hậu Giang,City
vi thuy,116.41,2001,116410,Hậu Giang,District
an bien,54.074,2001,54074,Kiên Giang,District
an minh,100.367,2001,100367,Kiên Giang,District
chau thanh,157.79,2001,157790,Kiên Giang,District
giong rieng,117.459,2001,117459,Kiên Giang,District
giang thanh,64.982,2001,64982,Kiên Giang,District
go quao,98.234,2001,98234,Kiên Giang,District
ha tien,68.639,2001,68639,Kiên Giang,City
hon dat,248.539,2001,248539,Kiên Giang,District
kien hai,0.165,2001,165,Kiên Giang,District
kien luong,98.778,2001,98778,Kiên Giang,District
phu quoc,21.423,2001,21423,Kiên Giang,City
rach gia,200.022,2001,200022,Kiên Giang,City
tan hiep,145.308,2001,145308,Kiên Giang,District
u minh thuong,54.066,2001,54066,Kiên Giang,District
vinh thuan,98.942,2001,98942,Kiên Giang,District
ben luc,90.315,2001,90315,Long An,District
can duoc,100.912,2001,100912,Long An,District
can giuoc,108.871,2001,108871,Long An,District
chau thanh,41.761,2001,41761,Long An,District
duc hoa,211.358,2001,211358,Long An,District
duc hue,96.472,2001,96472,Long An,District
kien tuong,48.055,2001,48055,Long An,Town
moc hoa,64.288,2001,64288,Long An,District
tan an,115.341,2001,115341,Long An,City
tan hung,68.768,2001,68768,Long An,District
tan thanh,196.224,2001,196224,Long An,District
tan tru,33.046,2001,33046,Long An,District
thanh hoa,83.961,2001,83961,Long An,District
thu thua,67.215,2001,67215,Long An,District
vinh hung,72.745,2001,72745,Long An,District
chau thanh,127.946,2001,127946,Sóc Trăng,District
cu lao dung,26.802,2001,26802,Sóc Trăng,District
ke sach,102.402,2001,102402,Sóc Trăng,District
long phu,93.529,2001,93529,Sóc Trăng,District
my tu,139.419,2001,139419,Sóc Trăng,District
my xuyen,117.57,2001,117570,Sóc Trăng,District
nga nam,89.374,2001,89374,Sóc Trăng,Town
soc trang,167.97,2001,167970,Sóc Trăng,City
thanh tri,87.507,2001,87507,Sóc Trăng,District
tran de,155.587,2001,155587,Sóc Trăng,District
vinh chau,136.933,2001,136933,Sóc Trăng,Town
cai be,359.06,2001,359060,Tiền Giang,District
cai lay,173.086,2001,173086,Tiền Giang,District
cai lay,146.308,2001,146308,Tiền Giang,Town
cho gao,57.862,2001,57862,Tiền Giang,District
chau thanh,128.904,2001,128904,Tiền Giang,District
go cong,163.615,2001,163615,Tiền Giang,Town
go cong dong,200.509,2001,200509,Tiền Giang,District
go cong tay,180.61,2001,180610,Tiền Giang,District
my tho,138.883,2001,138883,Tiền Giang,City
tan phu dong,32.409,2001,32409,Tiền Giang,District
tan phuoc,89.843,2001,89843,Tiền Giang,District
cau ke,117.657,2001,117657,Trà Vinh,District
cau ngang,195.093,2001,195093,Trà Vinh,District
cang long,102.477,2001,102477,Trà Vinh,District
chau thanh,146.467,2001,146467,Trà Vinh,District
duyen hai,74.705,2001,74705,Trà Vinh,District
duyen hai,66.216,2001,66216,Trà Vinh,Town
tieu can,85.753,2001,85753,Trà Vinh,District
tra cu,160.91,2001,160910,Trà Vinh,District
tra vinh,87.566,2001,87566,Trà Vinh,City
binh minh,133.222,2001,133222,Vĩnh Long,Town
binh tan,72.569,2001,72569,Vĩnh Long,District
long ho,131.506,2001,131506,Vĩnh Long,District
mang thit,91.85,2001,91850,Vĩnh Long,District
