,VARNAME_2,population(thousand)
0,An Phu,188.148
1,Cho Moi,360.983
2,Chau Doc,118.676
3,Chau Phu,255.907
4,Chau Thanh,178.791
5,Long Xuyen,290.367
6,Phu Tan,208.633
7,Tinh Bien,126.403
8,Tan Chau,178.136
9,Thoai Son,192.134
10,Tri Ton,138.047
11,Bac Lieu,162.507
12,Dong Hai,155.969
13,Gia Rai,143.341
14,Hong Dan,113.299
15,Hoa Binh,122.686
16,Phuoc Long,126.081
17,Vinh Loi,92.334
18,Ben Tre,127.948
19,Ba Tri,195.848
20,Binh Dai,138.132
21,Cho Lach,124.144
22,Chau Thanh,157.702
23,Giong Trom,176.354
24,Mo Cay Bac,75.485
25,Mo Cay Nam,183.288
26,Thanh Phu,133.499
27,Binh Thuy,128.458
28,Co Do,160.561
29,Cai Rang,78.223
30,Ninh Kieu,259.323
31,O Mon,121.564
32,Phong Dien,109.856
33,Thot Not,130.008
34,Thoi Lai,195.82
35,Vinh Thanh,95.326
36,Ca Mau,228.808
37,Cai Nuoc,141.742
38,Dam Doi,191.269
39,Nam Can,56.781
40,Ngoc Hien,90.979
41,Phu Tan,110.433
42,Thoi Binh,139.784
43,Tran Van Thoi,193.687
44,U Minh,110.153
45,Cao Lanh,208.437
46,Cao Lanh,171.14
47,Chau Thanh,155.618
48,Hong Ngu,154.516
49,Hong Ngu,83.594
50,Lap Vo,185.158
51,Lai Vung,171.285
52,Sa Dec,110.719
53,Tam Nong,111.659
54,Tan Hong,95.054
55,Thanh Binh,160.713
56,Thap Muoi,146.952
57,Chau Thanh,87.002
58,Chau Thanh A,112.639
59,Long My,100.413
60,Long My,65.99
61,Nga Bay,62.646
62,Phung Hiep,208.153
63,Vi Thanh,75.35
64,Vi Thuy,105.4
65,An Bien,107.006
66,An Minh,113.519
67,Chau Thanh,161.596
68,Giong Rieng,240.961
69,Giang Thanh,43.36
70,Go Quao,133.316
71,Ha Tien,48.005
72,Hon Dat,181.417
73,Kien Hai,16.376
74,Kien Luong,69.995
75,Phu Quoc,97.067
76,Rach Gia,245.397
77,Tan Hiep,155.663
78,U Minh Thuong,74.712
79,Vinh Thuan,131.057
80,Ben Luc,158.457
81,Can Duoc,180.354
82,Can Giuoc,181.532
83,Chau Thanh,103.641
84,Duc Hoa,232.751
85,Duc Hue,63.455
86,Kien Tuong,32.964
87,Moc Hoa,41.527
88,Tan An,140.942
89,Tan Hung,50.926
90,Tan Thanh,81.041
91,Tan Tru,66.226
92,Thanh Hoa,57.869
93,Thu Thua,93.853
94,Vinh Hung,51.953
95,Chau Thanh,106.195
96,Cu Lao Dung,45.848
97,Ke Sach,161.117
98,Long Phu,103.268
99,My Tu,113.093
100,My Xuyen,138.964
101,Nga Nam,83.584
102,Soc Trang,148.461
103,Thanh Tri,110.654
104,Tran De,173.484
105,Vinh Chau,172.064
106,Cai Be,307.163
107,Cai Lay,165.71
108,Cai Lay,163.281
109,Cho Gao,178.037
110,Chau Thanh,262.975
111,Go Cong,143.257
112,Go Cong Dong,117.974
113,Go Cong Tay,124.114
114,My Tho,232.543
115,Tan Phu Dong,43.373
116,Tan Phuoc,60.59
117,Cau Ke,117.496
118,Cau Ngang,139.794
119,Cang Long,155.39
120,Chau Thanh,131.87
121,Duyen Hai,74.56
122,Duyen Hai,61.173
123,Tieu Can,116.233
124,Tra Cu,158.727
125,Tra Vinh,120.468
126,Binh Minh,127.128
127,Binh Tan,63.052
128,Long Ho,171.88
129,Mang Thit,105.07
130,Tam Binh,164.556
131,Tra On,142.77
132,Vinh Long,143.754
133,Vung Liem,167.341
