,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,86.09351432880845
1,Cho Moi,3.0,52.92307692307693
2,Chau Doc,3.0,85.43505674653215
3,Chau Phu,3.0,91.95486518171161
4,Chau Thanh,3.0,93.31239608350268
5,Long Xuyen,3.0,62.53928346951603
6,Phu Tan,3.0,86.36562911003945
7,Tinh Bien,3.0,74.20765027322405
8,Tan Chau,3.0,80.24193548387096
9,Thoai Son,3.0,94.44368226094115
10,Tri Ton,3.0,81.300987548304
11,Bac Lieu,19.0,53.943908851884316
12,Dong Hai,19.0,90.80689482887834
13,Gia Rai,19.0,69.97063142437592
14,Hong Dan,3.0,40.36216701586351
15,Hoa Binh,19.0,50.90493427319489
16,Phuoc Long,19.0,44.41171911331577
17,Vinh Loi,3.0,66.61518661518662
18,Ben Tre,4.0,88.45780795344325
19,Ba Tri,3.0,38.300467574710304
20,Binh Dai,4.0,48.233282674772035
21,Cho Lach,4.0,99.33837429111531
22,Chau Thanh,4.0,98.17880794701986
23,Giong Trom,4.0,93.72013651877134
24,Mo Cay Bac,4.0,99.74726200505476
25,Mo Cay Nam,4.0,98.77934272300469
26,Thanh Phu,19.0,49.14182475158085
27,Binh Thuy,4.0,77.30569948186529
28,Co Do,3.0,66.76107626947197
29,Cai Rang,4.0,89.83783783783784
30,Ninh Kieu,1.0,55.47445255474452
31,O Mon,4.0,72.01689545934529
32,Phong Dien,4.0,89.63730569948186
33,Thot Not,4.0,54.858934169278996
34,Thoi Lai,3.0,52.268907563025216
35,Vinh Thanh,3.0,90.93008608020156
36,Ca Mau,19.0,61.05567226890757
37,Cai Nuoc,19.0,95.72301425661914
38,Dam Doi,19.0,88.72533160789389
39,Nam Can,19.0,70.07804447062288
40,Ngoc Hien,19.0,53.639568643716295
41,Phu Tan,19.0,89.98158944461491
42,Thoi Binh,19.0,52.92015519705943
43,Tran Van Thoi,4.0,33.783912422655874
44,U Minh,4.0,33.95177838577291
45,Cao Lanh,3.0,65.91770438548998
46,Cao Lanh,4.0,71.07438016528926
47,Chau Thanh,4.0,64.92557510148849
48,Hong Ngu,3.0,81.23603871928519
49,Hong Ngu,3.0,93.25594250967384
50,Lap Vo,3.0,54.56048498208873
51,Lai Vung,4.0,54.4163589889236
52,Sa Dec,4.0,70.89371980676329
53,Tam Nong,3.0,80.56512749827705
54,Tan Hong,3.0,93.57246527057848
55,Thanh Binh,3.0,86.49080735411671
56,Thap Muoi,3.0,71.59913169319826
57,Chau Thanh,4.0,96.98823529411764
58,Chau Thanh A,4.0,64.79838709677419
59,Long My,4.0,58.95522388059702
60,Long My,3.0,58.03418803418804
61,Nga Bay,4.0,87.76194467728415
62,Phung Hiep,4.0,81.08323377140582
63,Vi Thanh,4.0,75.11061946902655
64,Vi Thuy,3.0,57.22926267281107
65,An Bien,3.0,66.93561943183728
66,An Minh,19.0,38.77412800541822
67,Chau Thanh,3.0,72.70194986072424
68,Giong Rieng,3.0,69.89236393176279
69,Giang Thanh,3.0,55.26481715006305
70,Go Quao,4.0,53.351955307262564
71,Ha Tien,19.0,43.5016835016835
72,Hon Dat,3.0,70.52520092206093
73,Kien Hai,,
74,Kien Luong,10.0,30.11204481792717
75,Phu Quoc,10.0,64.84736355226643
76,Rach Gia,3.0,71.5370018975332
77,Tan Hiep,3.0,93.62024549174117
78,U Minh Thuong,4.0,45.61867704280156
79,Vinh Thuan,3.0,42.3117709437964
80,Ben Luc,4.0,71.16522530723715
81,Can Duoc,3.0,70.71475843812046
82,Can Giuoc,3.0,42.36739974126779
83,Chau Thanh,4.0,79.18670747704417
84,Duc Hoa,4.0,45.990530013746756
85,Duc Hue,3.0,33.22727272727273
